no,instruction_set,no_aturan,kutipan_aturan,pesan_uji,konteks_json,field_diperiksa,nilai_diharapkan,dicegat_jalur_cepat,alasan_penurunan
1,Nitip,1,"Gunakan confirm hanya untuk pesan konfirmasi singkat seperti ""konfirmasi"", ""confirm"", atau ""lanjut"".",konfirmasi,,command;intent,confirm;shopping_order,ya,"Kata ""konfirmasi"" tercantum verbatim pada aturan sebagai bentuk pemicu command confirm."
2,Nitip,1,"Gunakan confirm hanya untuk pesan konfirmasi singkat seperti ""konfirmasi"", ""confirm"", atau ""lanjut"".","beliin nasi goreng 1",,command,bukan:confirm,tidak,"Kata ""hanya"" pada aturan menutup kemungkinan pesan berisi item diperlakukan sebagai confirm (kasus negatif)."
3,Nitip,2,"Gunakan add_merchant hanya untuk pesan singkat seperti ""tambah merchant"", ""tambah toko"", ""tambah resto"", ""tambah order"", atau ""order baru""; jangan jadikan kata order sebagai item.","tambah toko",,command,add_merchant,ya,"Frasa ""tambah toko"" tercantum verbatim pada daftar pemicu add_merchant."
4,Nitip,2,"Gunakan add_merchant hanya untuk pesan singkat seperti ""tambah merchant"", ""tambah toko"", ""tambah resto"", ""tambah order"", atau ""order baru""; jangan jadikan kata order sebagai item.","order baru",,command;items.jumlah,add_merchant;0,ya,"Aturan menyebut ""order baru"" sebagai pemicu sekaligus melarang kata order dijadikan item."
5,Nitip,3,"Gunakan show_menu saat pengguna meminta daftar menu.","minta daftar menu dong",,command,show_menu,tidak,"Aturan menetapkan show_menu untuk permintaan daftar menu."
6,Nitip,4,"Gunakan menu_next atau menu_previous untuk navigasi halaman menu.","menu berikutnya",,command,menu_next,ya,"Aturan menetapkan menu_next untuk navigasi maju halaman menu."
7,Nitip,4,"Gunakan menu_next atau menu_previous untuk navigasi halaman menu.","menu sebelumnya",,command,menu_previous,ya,"Aturan menetapkan menu_previous untuk navigasi mundur halaman menu."
8,Nitip,5,"Gunakan search_menu saat pengguna menanyakan atau mencari menu tertentu, lalu isi menu_search hanya dengan nama atau jenis menu yang dicari.","cari menu ayam geprek",,command;menu_search,"search_menu;ayam geprek",ya,"Aturan mewajibkan menu_search diisi hanya dengan nama menu yang dicari, tanpa kata perintah."
9,Nitip,6,"Gunakan recommend_food untuk permintaan saran seperti ""bingung makan apa"".","bingung makan apa",,command,recommend_food,ya,"Contoh ""bingung makan apa"" tercantum verbatim pada aturan."
10,Nitip,7,"Gunakan help saat pengguna menanyakan cara memakai BangBot atau cara membuat pesanan, misalnya ""cara pesennya gimana"" atau ""ini suruh ngapain"".","cara pesennya gimana",,command;intent,help;shopping_order,ya,"Contoh ""cara pesennya gimana"" tercantum verbatim pada aturan."
11,Nitip,8,"Untuk command informasional tersebut (show_menu, menu_next, menu_previous, search_menu, recommend_food, help), intent harus shopping_order dan items harus kosong.","carikan menu es teh",,command;intent;items.jumlah,search_menu;shopping_order;0,ya,"Aturan mewajibkan items kosong pada seluruh command informasional, termasuk search_menu (kasus negatif: nama menu berpeluang jadi item)."
12,Nitip,9,"Ekstrak merchant/resto/toko, item belanja, jumlah, catatan, dan alamat antar hanya jika disebut di pesan terbaru.","beliin nasi goreng 1 antar ke Jalan Diponegoro 5",,items.0.name;delivery_address,"nasi goreng;berisi:diponegoro",tidak,"Alamat antar disebut pada pesan sehingga menurut aturan wajib diekstrak."
13,Nitip,9,"Ekstrak merchant/resto/toko, item belanja, jumlah, catatan, dan alamat antar hanya jika disebut di pesan terbaru.","beliin nasi goreng 1",,delivery_address;merchant|resto,kosong;kosong,tidak,"Frasa ""hanya jika disebut"" mewajibkan field yang tidak disebut tetap kosong (kasus negatif)."
14,Nitip,10,"Jika pengguna menyebut restoran target, isi merchant/resto dengan nama tersebut; kata urutan seperti pertama atau kedua tidak perlu diubah menjadi nama.","beliin seblak 1 di Warung Teteh",,merchant|resto,"Warung Teteh",tidak,"Aturan mewajibkan nama restoran target diisi ke field merchant/resto."
15,Nitip,11,"Jika CONTEXT_JSON berisi active_merchant_name atau merchant aktif, pesan terbaru yang hanya berisi daftar belanja biasanya adalah item untuk merchant aktif itu; jangan paksa nama merchant ke item, tetapi nama brand yang memang disebut sebagai menu tetap boleh menjadi bagian nama item.","es teh 2","{""service_type"":""nitip"",""draft_state"":{""intent"":""shopping_order"",""service_type"":""nitip"",""shopping"":{""merchant_name"":""Warung Teteh"",""merchant_count"":1,""active_merchant_name"":""Warung Teteh"",""available_menus"":[],""item_count"":0,""ready_to_confirm"":false}}}",items.jumlah;items.0.name;items.0.quantity,"1;es teh;2",tidak,"Dengan active_merchant_name terisi, aturan melarang nama merchant dipaksakan menjadi bagian nama item."
16,Nitip,12,"Jangan gabungkan item dari baris, bullet, nomor, koma, tanda plus, atau kata ""dan"" yang berbeda; setiap baris atau frasa berjumlah seperti ""gacoan level 6 1 porsi dan udang keju 1 porsi"" harus menjadi item terpisah: ""gacoan level 6"" quantity 1 dan ""udang keju"" quantity 1.","gacoan level 6 1 porsi dan udang keju 1 porsi",,items.jumlah;items.0.name;items.0.quantity;items.1.name;items.1.quantity,"2;gacoan level 6;1;udang keju;1",tidak,"Pesan uji beserta hasil pemisahannya tertulis verbatim di dalam aturan."
17,Nitip,12,"Jangan gabungkan item dari baris, bullet, nomor, koma, tanda plus, atau kata ""dan"" yang berbeda; setiap baris atau frasa berjumlah seperti ""gacoan level 6 1 porsi dan udang keju 1 porsi"" harus menjadi item terpisah: ""gacoan level 6"" quantity 1 dan ""udang keju"" quantity 1.","roti tawar 1 + susu ultra 2",,items.jumlah;items.0.name;items.1.name,"2;roti tawar;susu ultra",tidak,"Aturan menyebut tanda plus sebagai pemisah item yang tidak boleh digabungkan."
18,Nitip,13,"Koma boleh memisahkan item berbeda, contoh ""nasi goreng 1, nasi ruwet 2, kwetiau goreng 1"" menjadi 3 item; jika setelah koma hanya jumlah, angka itu quantity untuk item sebelumnya, contoh ""beras 1kg, 1"" berarti item ""beras 1kg"" quantity 1.","nasi goreng 1, nasi ruwet 2, kwetiau goreng 1",,items.jumlah;items.0.quantity;items.1.quantity;items.2.quantity,3;1;2;1,tidak,"Contoh beserta hasil tiga item tertulis verbatim di dalam aturan."
19,Nitip,13,"Koma boleh memisahkan item berbeda, contoh ""nasi goreng 1, nasi ruwet 2, kwetiau goreng 1"" menjadi 3 item; jika setelah koma hanya jumlah, angka itu quantity untuk item sebelumnya, contoh ""beras 1kg, 1"" berarti item ""beras 1kg"" quantity 1.","beras 1kg, 1",,items.jumlah;items.0.name;items.0.quantity,"1;beras 1kg;1",tidak,"Pengecualian ""jika setelah koma hanya jumlah"" beserta hasilnya tertulis verbatim di dalam aturan."
20,Nitip,14,"Angka level/pedas/varian dan ukuran seperti ""level 6"", ""500ml"", ""1kg"", ""1 kg"", atau ""1 liter"" adalah bagian nama item, bukan jumlah; angka terakhir tanpa unit setelah nama item boleh menjadi quantity, contoh ""mie gacoan level 7 2"" berarti item ""mie gacoan level 7"" quantity 2.","mie gacoan level 7 2",,items.0.name;items.0.quantity,"mie gacoan level 7;2",tidak,"Contoh beserta hasilnya tertulis verbatim di dalam aturan."
21,Nitip,14,"Angka level/pedas/varian dan ukuran seperti ""level 6"", ""500ml"", ""1kg"", ""1 kg"", atau ""1 liter"" adalah bagian nama item, bukan jumlah; angka terakhir tanpa unit setelah nama item boleh menjadi quantity, contoh ""mie gacoan level 7 2"" berarti item ""mie gacoan level 7"" quantity 2.","beliin susu 500ml",,items.0.name;items.0.quantity,"susu 500ml;1",tidak,"Aturan menyatakan ukuran ""500ml"" adalah bagian nama item dan bukan jumlah."
22,Nitip,15,"Format jumlah seperti ""3x"", ""3 x"", ""3 pcs"", ""3 porsi"", atau ""3 buah"" setelah nama item juga harus menjadi quantity; nama item harus bersih tanpa frasa intent seperti ""aku mau beli"", ""saya mau beli"", ""mau beli"", dan tanpa ekor merchant seperti ""di Rendy's Chicken"".","es teh 3 pcs",,items.0.name;items.0.quantity,"es teh;3",tidak,"Format ""3 pcs"" disebut eksplisit sebagai penanda quantity."
23,Nitip,15,"Format jumlah seperti ""3x"", ""3 x"", ""3 pcs"", ""3 porsi"", atau ""3 buah"" setelah nama item juga harus menjadi quantity; nama item harus bersih tanpa frasa intent seperti ""aku mau beli"", ""saya mau beli"", ""mau beli"", dan tanpa ekor merchant seperti ""di Rendy's Chicken"".","aku mau beli ayam geprek 1 di Rendy's Chicken",,items.0.name;merchant|resto,"ayam geprek;Rendy's Chicken",tidak,"Aturan menyebut frasa intent ""aku mau beli"" dan ekor merchant ""di Rendy's Chicken"" harus dibuang dari nama item."
24,Nitip,16,"Frasa gaul pembuka seperti ""beliin"", ""beliin gw"", ""nitipin"", ""gasin"", atau ""dong"" adalah frasa intent, bukan bagian nama item.","nitipin gw batagor 2 dong",,items.0.name;items.0.quantity,batagor;2,tidak,"Kata ""nitipin"" dan ""dong"" disebut sebagai frasa intent yang bukan bagian nama item."
25,Nitip,17,"Jika satu pesan jelas menyebut beberapa merchant, isi stops berisi merchant dan item masing-masing; jika hanya satu merchant, boleh pakai field merchant/items biasa.","beliin seblak 1 di Warung Teteh dan es teh 2 di Kopi Kenangan",,stops.jumlah;stops.0.merchant|stops.0.resto;stops.1.merchant|stops.1.resto,"2;Warung Teteh;Kopi Kenangan",tidak,"Aturan mewajibkan stops diisi bila satu pesan jelas menyebut beberapa merchant."
